Player,Age,Pos,Date,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Joe Harris,26-066,G,2017-11-11 *,BRK,@,UTA,L,0,24,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,1,2,0,0,5,3,2.0
Andrew Harrison,23-042,G,2017-12-09 *,MEM,,OKC,L,1,26,1,8,.125,1,6,.167,0,2,.000,1,2,.500,2,1,3,4,2,1,3,2,3,0.8
Andrew Harrison,23-081,G,2018-01-17 *,MEM,,NYK,W,1,23,1,5,.200,1,3,.333,0,2,.000,1,2,.500,0,2,2,1,0,1,1,0,3,0.5
Andrew Harrison,23-008,G,2017-11-05 *,MEM,@,LAL,L,0,9,1,4,.250,0,2,.000,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,1.6
Andrew Harrison,23-021,G,2017-11-18 *,MEM,,HOU,L,0,12,1,3,.333,0,0,,1,3,.333,0,0,,0,3,3,1,0,0,0,1,3,2.5
Josh Hart,22-331,G,2018-01-31 *,LAL,@,ORL,L,0,14,1,2,.500,0,0,,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,3.7
Josh Hart,22-258,G,2017-11-19 *,LAL,,DEN,W,0,12,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,1,1,2,0,1,0,0,0,3,3.6
Josh Hart,22-239,G,2017-10-31 *,LAL,,DET,W,0,17,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,2,2,1,0,0,1,1,3,1.2
Josh Hart,22-261,G,2017-11-22 *,LAL,@,SAC,L,0,10,1,1,1.000,0,0,,1,1,1.000,0,0,,0,3,3,1,1,0,0,0,3,5.3
Udonis Haslem,37-203,F-C,2017-12-29 *,MIA,,BRK,L,0,5,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,2.0
Nigel Hayes,23-043,F,2018-01-28 *,LAL,@,TOR,L,0,10,1,3,.333,1,1,1.000,0,2,.000,1,1,1.000,0,0,0,2,0,0,0,0,3,2.7
Reggie Hearn,26-175,G,2018-02-05 *,DET,,POR,W,0,3,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7
Myke Henry,25-037,F,2018-01-29 *,MEM,,PHO,W,0,13,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.0
John Henson,27-043,C-F,2018-02-09 *,MIL,@,MIA,L,1,21,1,3,.333,1,3,.333,0,0,,1,1,1.000,1,7,8,2,1,2,1,4,3,5.3
Juan Hernangomez,22-179,F,2018-03-26 *,DEN,@,PHI,L,0,3,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,2.7
Juan Hernangomez,22-050,F,2017-11-17 *,DEN,,NOP,W,0,4,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,3.7
Juan Hernangomez,22-057,F,2017-11-24 *,DEN,,MEM,W,0,18,1,2,.500,0,0,,1,2,.500,0,0,,0,5,5,0,1,0,2,2,3,1.7
Juan Hernangomez,22-069,F,2017-12-06 *,DEN,@,NOP,L,0,4,1,1,1.000,0,0,,1,1,1.000,0,0,,1,0,1,1,0,0,0,1,3,3.7
Willy Hernangomez,23-301,C,2018-03-24 *,CHO,@,DAL,W,0,15,0,4,.000,0,4,.000,0,0,,3,4,.750,3,4,7,1,1,1,1,2,3,3.7
Willy Hernangomez,23-177,C,2017-11-20 *,NYK,,LAC,W,0,4,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3
Willy Hernangomez,23-249,C,2018-01-31 *,NYK,@,BOS,L,0,8,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,0,2,2,0,0,0,0,0,3,2.2
Willy Hernangomez,23-145,C,2017-10-19 *,NYK,@,OKC,L,0,4,1,1,1.000,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,1,2,0,3,1.4
Willy Hernangomez,23-233,C,2018-01-15 *,NYK,@,BRK,W,0,6,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,2,3,1,1,0,0,2,3,4.5
Mario Hezonja,22-237,F-G,2017-10-20 *,ORL,@,BRK,L,0,16,1,5,.200,0,3,.000,1,2,.500,0,0,,1,2,3,1,1,0,1,3,3,0.7
Isaiah Hicks,23-230,F,2018-03-11 *,NYK,,TOR,L,0,11,1,3,.333,1,3,.333,0,0,,1,2,.500,1,1,2,0,0,0,2,2,3,-0.9
Buddy Hield,23-308,G,2017-10-21 *,SAC,@,DEN,L,1,22,1,10,.100,1,6,.167,0,4,.000,1,1,1.000,0,3,3,3,0,0,0,2,3,-1.4
Buddy Hield,24-085,G,2018-03-12 *,SAC,@,OKC,L,0,15,1,6,.167,0,2,.000,1,4,.250,0,0,,0,1,1,0,0,2,0,0,3,0.9
Nene Hilario,35-141,F-C,2018-02-01 *,HOU,@,SAS,W,0,13,1,3,.333,1,3,.333,0,0,,1,2,.500,2,1,3,1,2,0,1,1,3,3.9
Nene Hilario,35-168,F-C,2018-02-28 *,HOU,@,LAC,W,0,9,1,2,.500,1,2,.500,0,0,,1,2,.500,0,3,3,0,0,0,0,2,3,1.7
Nene Hilario,35-135,F-C,2018-01-26 *,HOU,@,NOP,L,0,10,1,2,.500,1,2,.500,0,0,,1,2,.500,0,1,1,0,1,0,1,2,3,1.1
Nene Hilario,35-100,F-C,2017-12-22 *,HOU,,LAC,L,1,17,1,4,.250,1,4,.250,0,0,,1,2,.500,0,2,2,0,0,0,0,1,3,0.4
George Hill,31-305,G,2018-03-05 *,CLE,,DET,W,1,23,1,5,.200,1,4,.250,0,1,.000,1,1,1.000,2,1,3,5,0,0,0,2,3,4.3
George Hill,31-263,G,2018-01-22 *,SAC,@,CHO,L,0,19,1,2,.500,1,1,1.000,0,1,.000,1,1,1.000,0,0,0,5,1,0,1,2,3,4.7
Solomon Hill,27-004,F,2018-03-22 *,NOP,,LAL,W,0,13,1,3,.333,0,0,,1,3,.333,0,0,,0,0,0,1,0,0,0,2,3,1.2
Justin Holiday,28-220,G,2017-11-11 *,CHI,@,SAS,L,1,25,1,10,.100,0,6,.000,1,4,.250,0,0,,0,4,4,2,2,1,0,1,3,1.3
Justin Holiday,28-350,G,2018-03-21 *,CHI,,DEN,L,1,23,1,5,.200,0,1,.000,1,4,.250,0,0,,0,2,2,1,0,0,2,1,3,-1.2
John Holland,29-095,G-F,2018-02-09 *,CLE,@,ATL,W,0,14,1,5,.200,0,0,,1,5,.200,0,0,,0,0,0,0,2,0,0,2,3,1.1
John Holland,29-109,G-F,2018-02-23 *,CLE,@,MEM,W,0,3,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,2,0,0,0,3,5.0
John Holland,29-135,G-F,2018-03-21 *,CLE,,TOR,W,0,6,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,0,1,0,0,0,0,0,3,3.0
John Holland,29-021,G-F,2017-11-27 *,CLE,@,PHI,W,0,5,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0
Al Horford,31-170,C-F,2017-11-20 *,BOS,@,DAL,W,1,39,1,5,.200,0,4,.000,1,1,1.000,0,0,,1,7,8,7,1,2,3,0,3,7.0
Al Horford,31-265,C-F,2018-02-23 *,BOS,@,DET,W,1,27,1,6,.167,0,3,.000,1,3,.333,0,0,,1,4,5,4,0,1,2,3,3,1.4
Danuel House,24-199,G,2017-12-23 *,PHO,,MIN,L,0,8,0,2,.000,0,0,,0,2,.000,3,3,1.000,0,1,1,1,1,0,0,0,3,3.6
Danuel House,24-233,G,2018-01-26 *,PHO,,NYK,L,0,5,1,3,.333,0,1,.000,1,2,.500,0,0,,1,1,2,0,0,0,0,1,3,1.9
Danuel House,24-194,G,2017-12-18 *,PHO,@,DAL,W,0,13,1,2,.500,1,1,1.000,0,1,.000,1,1,1.000,0,3,3,1,0,0,1,3,3,1.4
Josh Huestis,26-006,F,2017-12-25 *,OKC,,HOU,W,0,18,1,3,.333,0,0,,1,3,.333,0,0,,1,2,3,1,0,2,0,1,3,4.3
Josh Huestis,25-310,F,2017-10-25 *,OKC,,IND,W,0,26,1,5,.200,0,1,.000,1,4,.250,0,0,,2,1,3,0,1,0,1,4,3,0.0
Josh Huestis,26-077,F,2018-03-06 *,OKC,,HOU,L,1,19,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,3,3,1,0,2,0,1,3,4.6
Josh Huestis,26-035,F,2018-01-23 *,OKC,,BRK,W,0,11,1,2,.500,0,0,,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,2.2
Josh Huestis,25-326,F,2017-11-10 *,OKC,,LAC,W,0,16,1,1,1.000,0,0,,1,1,1.000,0,0,,0,2,2,0,1,2,2,3,3,2.5
Josh Huestis,25-347,F,2017-12-01 *,OKC,,MIN,W,0,13,1,4,.250,0,2,.000,1,2,.500,0,0,,1,0,1,0,0,0,0,2,3,0.5
Josh Huestis,26-074,F,2018-03-03 *,OKC,@,POR,L,1,23,1,4,.250,0,2,.000,1,2,.500,0,0,,1,1,2,1,0,0,1,1,3,0.9
Josh Huestis,25-364,F,2017-12-18 *,OKC,,DEN,W,0,13,1,4,.250,0,1,.000,1,3,.333,0,0,,1,0,1,0,0,1,0,2,3,1.2
Josh Huestis,25-323,F,2017-11-07 *,OKC,@,SAC,L,0,9,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.7
Josh Huestis,26-084,F,2018-03-13 *,OKC,@,ATL,W,0,5,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3
Josh Huestis,25-341,F,2017-11-25 *,OKC,@,DAL,L,0,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,0,0,0,0,2,3,2.2
Josh Huestis,26-025,F,2018-01-13 *,OKC,@,CHO,W,0,17,1,2,.500,0,0,,1,2,.500,0,0,,0,2,2,0,2,1,0,1,3,4.9
Josh Huestis,26-042,F,2018-01-30 *,OKC,@,WAS,L,0,21,1,2,.500,0,1,.000,1,1,1.000,0,0,,1,4,5,0,1,1,1,2,3,3.8
Josh Huestis,25-312,F,2017-10-27 *,OKC,@,MIN,L,0,15,1,5,.200,0,1,.000,1,4,.250,0,0,,0,3,3,0,0,1,0,3,3,0.3
Josh Huestis,26-079,F,2018-03-08 *,OKC,,PHO,W,0,20,1,5,.200,0,1,.000,1,4,.250,0,0,,0,4,4,2,0,0,0,0,3,2.5
Josh Huestis,25-306,F,2017-10-21 *,OKC,@,UTA,L,0,2,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,3.7
Josh Huestis,26-073,F,2018-03-02 *,OKC,@,PHO,W,1,27,1,4,.250,1,1,1.000,0,3,.000,1,1,1.000,1,8,9,0,0,2,0,1,3,4.7
Andre Iguodala,33-333,G-F,2017-12-27 *,GSW,,UTA,W,0,20,1,7,.143,1,5,.200,0,2,.000,1,2,.500,1,5,6,7,1,0,0,1,3,5.8
Andre Iguodala,34-045,G-F,2018-03-14 *,GSW,,LAL,W,0,22,1,1,1.000,0,0,,1,1,1.000,0,0,,0,2,2,3,0,1,4,0,3,2.1
Joe Ingles,30-028,F-G,2017-10-30 *,UTA,,DAL,W,1,33,1,5,.200,0,1,.000,1,4,.250,0,0,,0,6,6,6,3,0,2,0,3,6.9
Joe Ingles,30-086,F-G,2017-12-27 *,UTA,@,GSW,L,1,24,1,4,.250,0,2,.000,1,2,.500,0,0,,0,4,4,7,0,0,4,2,3,1.9
Joe Ingles,30-022,F-G,2017-10-24 *,UTA,@,LAC,L,1,18,1,5,.200,0,0,,1,5,.200,0,0,,0,2,2,1,1,0,4,3,3,-3.0
Jonathan Isaac,20-150,F,2018-03-02 *,ORL,,DET,W,0,15,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,2,2,0,2,1,0,1,3,4.9
Wesley Iwundu,23-080,F,2018-03-10 *,ORL,@,LAC,L,0,24,1,5,.200,1,4,.250,0,1,.000,1,2,.500,1,3,4,1,2,0,0,3,3,2.6
Wesley Iwundu,23-048,F,2018-02-06 *,ORL,,CLE,W,0,13,1,4,.250,1,3,.333,0,1,.000,1,2,.500,3,1,4,1,1,0,0,4,3,2.7
Wesley Iwundu,23-034,F,2018-01-23 *,ORL,,SAC,L,0,9,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,2.7
Jarrett Jack,34-045,G,2017-12-12 *,NYK,,LAL,W,1,26,1,6,.167,1,5,.200,0,1,.000,1,2,.500,0,6,6,10,0,0,2,0,3,5.6
Josh Jackson,21-023,F-G,2018-03-05 *,PHO,@,MIA,L,0,29,1,6,.167,0,3,.000,1,3,.333,0,2,.000,0,7,7,1,1,0,4,1,3,-2.2
Justin Jackson,22-221,G-F,2017-11-04 *,SAC,@,DET,L,0,16,1,4,.250,0,1,.000,1,3,.333,0,0,,0,3,3,0,0,0,1,1,3,0.1
Justin Jackson,22-274,G-F,2017-12-27 *,SAC,,CLE,W,0,9,1,1,1.000,0,0,,1,1,1.000,0,0,,0,2,2,1,0,0,0,2,3,3.2
Justin Jackson,22-340,G-F,2018-03-03 *,SAC,,UTA,L,1,29,1,4,.250,1,2,.500,0,2,.000,1,2,.500,1,4,5,3,1,1,1,2,3,4.1
Justin Jackson,22-335,G-F,2018-02-26 *,SAC,,MIN,L,1,36,1,4,.250,0,2,.000,1,2,.500,0,0,,1,2,3,1,3,0,0,1,3,5.2
Justin Jackson,22-266,G-F,2017-12-19 *,SAC,@,PHI,W,0,21,1,4,.250,0,1,.000,1,3,.333,0,0,,0,2,2,2,1,0,0,1,3,3.2
Justin Jackson,22-293,G-F,2018-01-15 *,SAC,@,OKC,L,0,24,1,5,.200,0,1,.000,1,4,.250,0,0,,0,1,1,2,4,0,1,1,3,4.2
Justin Jackson,22-257,G-F,2017-12-10 *,SAC,,TOR,L,0,33,1,7,.143,0,4,.000,1,3,.333,0,0,,2,3,5,3,0,1,0,2,3,2.8
Justin Jackson,22-297,G-F,2018-01-19 *,SAC,@,MEM,L,1,19,1,3,.333,0,0,,1,3,.333,0,2,.000,0,1,1,0,0,0,1,0,3,-0.2
Mike James,27-096,G,2017-11-22 *,PHO,,MIL,L,0,21,1,6,.167,1,3,.333,0,3,.000,1,2,.500,0,1,1,1,0,1,2,1,3,-1.9
Mike James,27-090,G,2017-11-16 *,PHO,,HOU,L,0,20,1,13,.077,1,10,.100,0,3,.000,1,3,.333,2,4,6,3,1,0,1,0,3,-1.8
Mike James,27-122,G,2017-12-18 *,PHO,@,DAL,W,0,9,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,1.6
Brandon Jennings,28-179,G,2018-03-21 *,MIL,,LAC,L,0,6,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,1,1,0,2,0,3,2.4
Jonas Jerebko,30-361,F,2018-02-26 *,UTA,,HOU,L,0,17,1,3,.333,1,2,.500,0,1,.000,1,1,1.000,0,8,8,0,0,0,0,2,3,2.9
Jonas Jerebko,30-263,F,2017-11-20 *,UTA,@,PHI,L,1,20,1,5,.200,0,2,.000,1,3,.333,0,0,,1,3,4,2,1,0,0,0,3,3.9
Jonas Jerebko,30-280,F,2017-12-07 *,UTA,,HOU,L,0,12,1,2,.500,0,0,,1,2,.500,0,0,,0,2,2,0,0,0,0,2,3,1.8
Jonas Jerebko,30-323,F,2018-01-19 *,UTA,,NYK,L,0,12,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1.2
Jonas Jerebko,30-246,F,2017-11-03 *,UTA,,TOR,L,0,12,1,1,1.000,1,1,1.000,0,0,,1,2,.500,2,2,4,0,0,0,1,4,3,1.7
Jonas Jerebko,31-021,F,2018-03-23 *,UTA,@,SAS,L,0,13,1,4,.250,0,1,.000,1,3,.333,0,0,,1,1,2,1,0,0,0,2,3,1.5
Jonas Jerebko,30-347,F,2018-02-12 *,UTA,,SAS,W,0,8,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1.9
Jonas Jerebko,30-250,F,2017-11-07 *,UTA,,PHI,L,0,9,1,2,.500,0,0,,1,2,.500,0,0,,1,1,2,0,1,0,1,1,3,2.6
Jonas Jerebko,31-026,F,2018-03-28 *,UTA,,BOS,L,0,11,1,5,.200,0,3,.000,1,2,.500,0,0,,2,5,7,0,0,0,0,1,3,2.4
Jonas Jerebko,30-293,F,2017-12-20 *,UTA,@,OKC,L,0,26,1,7,.143,0,1,.000,1,6,.167,0,0,,3,5,8,0,0,0,1,4,3,-0.5
Amir Johnson,30-268,F-C,2018-01-24 *,PHI,,CHI,W,0,12,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,1,1,1,1,1,0,1,3,4.3
Amir Johnson,30-210,F-C,2017-11-27 *,PHI,,CLE,L,0,8,1,1,1.000,1,1,1.000,0,0,,1,2,.500,4,1,5,1,0,0,0,3,3,4.9
Amir Johnson,30-192,F-C,2017-11-09 *,PHI,@,SAC,L,0,7,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,1,2,0,1,0,0,1,3,3.9
Amir Johnson,30-266,F-C,2018-01-22 *,PHI,@,MEM,L,0,16,0,1,.000,0,1,.000,0,0,,3,6,.500,3,2,5,2,1,1,0,4,3,5.3
Amir Johnson,30-297,F-C,2018-02-22 *,PHI,@,CHI,W,0,13,0,0,,0,0,,0,0,,3,6,.500,2,2,4,2,0,0,1,2,3,3.4
Amir Johnson,30-175,F-C,2017-10-23 *,PHI,@,DET,W,0,19,1,5,.200,0,2,.000,1,3,.333,0,2,.000,3,6,9,0,0,0,0,5,3,1.0
Dakari Johnson,22-172,C,2018-03-13 *,OKC,@,ATL,W,1,7,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,0,1,3,2.9
Dakari Johnson,22-145,C,2018-02-14 *,OKC,@,MEM,W,0,3,1,1,1.000,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,0,1,3,2.9
James Johnson,30-299,F,2017-12-16 *,MIA,,LAC,W,1,6,1,3,.333,1,1,1.000,0,2,.000,1,1,1.000,0,3,3,1,0,0,1,0,3,1.9
James Johnson,31-029,F,2018-03-21 *,MIA,,NYK,W,1,22,1,2,.500,1,2,.500,0,0,,1,2,.500,0,5,5,6,1,1,0,2,3,8.2
Joe Johnson,36-169,G-F,2017-12-15 *,UTA,@,BOS,W,0,15,1,3,.333,1,3,.333,0,0,,1,2,.500,0,3,3,0,0,0,2,0,3,-0.2
Joe Johnson,36-244,G-F,2018-02-28 *,HOU,@,LAC,W,0,24,1,5,.200,0,2,.000,1,3,.333,0,0,,0,2,2,1,1,0,0,1,3,1.8
Joe Johnson,36-118,G-F,2017-10-25 *,UTA,@,PHO,L,0,17,1,7,.143,1,5,.200,0,2,.000,1,1,1.000,2,4,6,1,0,1,0,0,3,2.5
Stanley Johnson,21-290,F,2018-03-15 *,DET,@,DEN,L,0,16,1,4,.250,0,2,.000,1,2,.500,0,0,,0,1,1,0,1,1,0,1,3,2.2
Stanley Johnson,21-172,F,2017-11-17 *,DET,@,IND,L,1,25,1,9,.111,0,4,.000,1,5,.200,0,0,,0,1,1,0,0,2,0,1,3,-1.6
Tyler Johnson,25-201,G,2017-11-24 *,MIA,@,MIN,W,0,20,1,7,.143,0,2,.000,1,5,.200,0,0,,1,2,3,2,0,1,1,0,3,0.9
Tyler Johnson,25-272,G,2018-02-03 *,MIA,@,DET,L,0,22,1,4,.250,0,2,.000,1,2,.500,0,0,,0,1,1,2,2,0,2,1,3,1.9
Tyler Johnson,25-183,G,2017-11-06 *,MIA,@,GSW,L,0,29,1,8,.125,0,6,.000,1,2,.500,0,1,.000,1,3,4,1,0,0,1,4,3,-2.9
Tyler Johnson,25-276,G,2018-02-07 *,MIA,,HOU,L,0,34,1,7,.143,0,1,.000,1,6,.167,0,0,,2,4,6,3,1,0,3,4,3,-0.4
Wesley Johnson,30-102,F-G,2017-10-21 *,LAC,,PHO,W,0,14,1,3,.333,1,2,.500,0,1,.000,1,2,.500,0,3,3,2,2,0,0,4,3,3.6
Wesley Johnson,30-209,F-G,2018-02-05 *,LAC,,DAL,W,0,17,1,2,.500,0,0,,1,2,.500,0,0,,0,1,1,1,0,0,0,2,3,2.2
Wesley Johnson,30-252,F-G,2018-03-20 *,LAC,@,MIN,L,0,8,1,1,1.000,0,0,,1,1,1.000,0,0,,1,1,2,1,0,0,0,0,3,4.4
Wesley Johnson,30-107,F-G,2017-10-26 *,LAC,@,POR,W,0,15,1,5,.200,0,2,.000,1,3,.333,0,0,,1,3,4,1,0,2,1,2,3,1.8
Wesley Johnson,30-207,F-G,2018-02-03 *,LAC,,CHI,W,0,15,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,4,4,0,2,0,1,4,3,2.6
Wesley Johnson,30-157,F-G,2017-12-15 *,LAC,@,WAS,L,1,20,1,7,.143,1,4,.250,0,3,.000,1,2,.500,0,5,5,1,1,1,2,1,3,-0.4
Wesley Johnson,30-199,F-G,2018-01-26 *,LAC,@,MEM,W,1,37,1,6,.167,1,3,.333,0,3,.000,1,2,.500,0,5,5,0,6,3,2,2,3,5.6
Wesley Johnson,30-262,F-G,2018-03-30 *,LAC,@,POR,L,0,6,1,1,1.000,0,0,,1,1,1.000,0,0,,0,1,1,1,1,0,0,1,3,4.3
Wesley Johnson,30-227,F-G,2018-02-23 *,LAC,@,PHO,W,1,20,1,5,.200,0,2,.000,1,3,.333,0,0,,0,0,0,0,2,0,0,1,3,1.5
Derrick Jones,20-357,F,2018-02-07 *,MIA,,HOU,L,1,19,1,7,.143,0,2,.000,1,5,.200,0,0,,2,1,3,0,0,0,1,2,3,-1.6
Derrick Jones,20-339,F,2018-01-20 *,MIA,@,CHO,W,1,20,1,2,.500,1,1,1.000,0,1,.000,1,2,.500,2,2,4,1,0,2,2,2,3,2.9
Jalen Jones,24-174,G,2017-11-17 *,NOP,@,DEN,L,0,5,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,1.9
Jalen Jones,24-305,G,2018-03-28 *,DAL,@,LAL,L,0,5,1,2,.500,0,1,.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,2.0
Tyus Jones,21-257,G,2018-01-22 *,MIN,@,LAC,W,0,14,1,4,.250,0,2,.000,1,2,.500,0,0,,0,1,1,3,0,0,0,1,3,2.6
Tyus Jones,21-161,G,2017-10-18 *,MIN,@,SAS,L,0,23,1,3,.333,1,3,.333,0,0,,1,1,1.000,0,2,2,1,1,0,0,1,3,3.2
Tyus Jones,21-289,G,2018-02-23 *,MIN,@,HOU,L,0,17,1,5,.200,0,1,.000,1,4,.250,0,0,,0,2,2,2,1,0,0,2,3,2.1
Tyus Jones,21-265,G,2018-01-30 *,MIN,@,TOR,L,0,17,1,1,1.000,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,0,0,1,3,2.6
Tyus Jones,21-245,G,2018-01-10 *,MIN,,OKC,W,0,19,1,6,.167,0,4,.000,1,2,.500,0,0,,1,0,1,1,1,0,0,1,3,1.2
Tyus Jones,21-210,G,2017-12-06 *,MIN,@,LAC,W,0,11,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,4.4
Tyus Jones,21-167,G,2017-10-24 *,MIN,,IND,L,0,18,0,1,.000,0,0,,0,1,.000,3,3,1.000,1,2,3,2,0,0,1,1,3,3.6
DeAndre Jordan,29-197,C,2018-02-03 *,LAC,,CHI,W,1,29,1,6,.167,1,6,.167,0,0,,1,2,.500,4,12,16,0,0,1,2,2,3,3.1
Frank Kaminsky,24-297,F-C,2018-01-26 *,CHO,,ATL,W,0,26,1,8,.125,0,2,.000,1,6,.167,0,0,,0,3,3,1,2,0,1,2,3,-0.4
Enes Kanter,25-297,C,2018-03-13 *,NYK,,DAL,L,1,21,1,4,.250,1,4,.250,0,0,,1,2,.500,4,11,15,1,0,0,3,2,3,3.2
Luke Kennard,21-176,G,2017-12-17 *,DET,,ORL,W,1,15,1,5,.200,0,4,.000,1,1,1.000,0,0,,0,1,1,2,1,1,0,1,3,2.9
Luke Kennard,21-171,G,2017-12-12 *,DET,,DEN,L,0,13,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3
Luke Kennard,21-249,G,2018-02-28 *,DET,,MIL,W,0,4,1,1,1.000,0,0,,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,2.3
Luke Kennard,21-195,G,2018-01-05 *,DET,@,PHI,L,0,20,1,3,.333,0,2,.000,1,1,1.000,0,0,,0,3,3,0,1,0,0,2,3,2.4
Luke Kennard,21-153,G,2017-11-24 *,DET,@,OKC,W,0,15,1,5,.200,0,2,.000,1,3,.333,0,0,,0,1,1,2,1,0,0,1,3,2.2
Luke Kennard,21-163,G,2017-12-04 *,DET,@,SAS,L,0,8,1,3,.333,0,1,.000,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,1.3
Michael Kidd-Gilchrist,24-060,F,2017-11-25 *,CHO,,SAS,L,1,21,1,8,.125,1,8,.125,0,0,,1,1,1.000,2,1,3,1,0,1,0,1,3,0.5
Sean Kilpatrick,27-364,G,2018-01-05 *,MIL,,TOR,L,0,6,1,2,.500,0,0,,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,1.6
Sean Kilpatrick,27-327,G,2017-11-29 *,BRK,@,DAL,W,0,17,1,6,.167,0,3,.000,1,3,.333,0,0,,0,3,3,2,0,0,2,2,3,-1.3
Sean Kilpatrick,28-027,G,2018-02-02 *,MIL,,NYK,W,0,6,1,2,.500,1,1,1.000,0,1,.000,1,1,1.000,0,0,0,0,1,0,0,0,3,3.0
Maxi Kleber,25-334,F,2017-12-29 *,DAL,@,NOP,W,1,21,1,4,.250,1,3,.333,0,1,.000,1,2,.500,0,1,1,0,0,0,1,3,3,-1.7
Maxi Kleber,25-352,F,2018-01-16 *,DAL,@,DEN,L,1,17,1,4,.250,1,3,.333,0,1,.000,1,2,.500,0,2,2,1,0,2,2,4,3,-0.7
Maxi Kleber,25-307,F,2017-12-02 *,DAL,,LAC,W,1,23,1,4,.250,1,2,.500,0,2,.000,1,2,.500,4,4,8,1,0,0,1,3,3,2.7
Maxi Kleber,25-358,F,2018-01-22 *,DAL,,WAS,W,1,17,1,4,.250,1,2,.500,0,2,.000,1,2,.500,0,4,4,1,0,2,0,1,3,3.1
Maxi Kleber,26-007,F,2018-02-05 *,DAL,@,LAC,L,0,19,1,4,.250,0,1,.000,1,3,.333,0,0,,1,2,3,1,1,0,0,1,3,3.2
Furkan Korkmaz,20-243,G,2018-03-24 *,PHI,,MIN,W,0,10,1,3,.333,0,2,.000,1,1,1.000,0,2,.000,0,1,1,0,0,1,0,2,3,0.7
Furkan Korkmaz,20-241,G,2018-03-22 *,PHI,@,ORL,W,0,12,1,5,.200,0,2,.000,1,3,.333,0,0,,0,0,0,1,0,0,1,0,3,-0.4
Luke Kornet,22-234,F,2018-03-06 *,NYK,@,POR,L,0,3,1,2,.500,0,0,,1,2,.500,0,0,,0,1,1,0,0,1,0,0,3,3.0
Kyle Korver,36-304,G-F,2018-01-15 *,CLE,,GSW,L,0,21,1,3,.333,0,0,,1,3,.333,0,0,,0,3,3,2,0,0,0,1,3,3.2
Kyle Korver,36-323,G-F,2018-02-03 *,CLE,,HOU,L,0,14,1,5,.200,0,1,.000,1,4,.250,0,0,,1,1,2,1,0,0,0,0,3,1.6
