Player,Age,Pos,Date,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
Stephen Curry,29-319,G,2018-01-27 *,GSW,,BOS,W,1,37,16,24,.667,8,11,.727,8,13,.615,9,10,.900,0,4,4,5,2,0,1,2,49,43.1
Anthony Davis,24-309,F-C,2018-01-14 *,NOP,@,NYK,W,1,50,17,30,.567,15,24,.625,2,6,.333,12,15,.800,6,11,17,0,4,3,4,2,48,41.4
James Harden,28-105,G,2017-12-09 *,HOU,@,POR,W,1,37,16,29,.552,12,22,.545,4,7,.571,12,14,.857,1,7,8,3,3,0,2,2,48,38.4
James Harden,28-082,G,2017-11-16 *,HOU,@,PHO,W,1,35,12,22,.545,6,11,.545,6,11,.545,18,18,1.000,0,2,2,7,2,1,5,3,48,39.4
Kyrie Irving,25-242,G,2017-11-20 *,BOS,@,DAL,W,1,39,16,22,.727,11,15,.733,5,7,.714,10,11,.909,1,2,3,6,1,0,3,3,47,39.9
Victor Oladipo,25-220,G,2017-12-10 *,IND,,DEN,W,1,45,15,28,.536,9,16,.563,6,12,.500,11,13,.846,1,6,7,6,2,1,4,1,47,37.6
Kemba Walker,27-193,G,2017-11-17 *,CHO,@,CHI,L,1,38,17,27,.630,12,18,.667,5,9,.556,8,9,.889,1,5,6,5,0,0,1,0,47,39.2
Devin Booker,21-035,G,2017-12-04 *,PHO,@,PHI,W,1,39,17,32,.531,12,24,.500,5,8,.625,7,8,.875,3,5,8,1,2,1,3,1,46,33.6
Joel Embiid,23-244,C,2017-11-15 *,PHI,@,LAL,W,1,34,14,20,.700,12,17,.706,2,3,.667,16,19,.842,2,13,15,7,0,7,2,4,46,47.9
Kemba Walker,27-318,G,2018-03-22 *,CHO,,MEM,W,1,28,13,18,.722,3,4,.750,10,14,.714,10,10,1.000,0,3,3,4,1,0,2,1,46,40.9
Russell Westbrook,29-074,G,2018-01-25 *,OKC,,WAS,W,1,37,19,29,.655,18,26,.692,1,3,.333,7,10,.700,0,6,6,6,2,0,6,3,46,32.9
LaMarcus Aldridge,32-247,F-C,2018-03-23 *,SAS,,UTA,W,1,41,19,28,.679,18,27,.667,1,1,1.000,6,8,.750,2,7,9,2,1,3,4,3,45,35.0
Stephen Curry,29-298,G,2018-01-06 *,GSW,@,LAC,W,1,30,11,21,.524,3,5,.600,8,16,.500,15,16,.938,2,4,6,3,3,0,2,2,45,39.2
Anthony Davis,24-311,F-C,2018-01-16 *,NOP,@,BOS,W,1,45,16,34,.471,16,31,.516,0,3,.000,13,15,.867,8,8,16,2,1,2,1,2,45,36.8
Anthony Davis,24-349,F-C,2018-02-23 *,NOP,,MIA,W,1,41,17,34,.500,16,28,.571,1,6,.167,10,11,.909,4,13,17,2,5,5,2,2,45,41.4
DeMar DeRozan,28-136,G-F,2017-12-21 *,TOR,@,PHI,W,1,39,13,21,.619,7,12,.583,6,9,.667,13,15,.867,3,2,5,3,2,1,2,3,45,39.0
Giannis Antetokounmpo,22-319,F-G,2017-10-21 *,MIL,,POR,W,1,39,17,23,.739,16,19,.842,1,4,.250,9,13,.692,2,6,8,4,2,2,2,3,44,39.3
DeMarcus Cousins,27-162,C-F,2018-01-22 *,NOP,,CHI,W,1,52,13,29,.448,8,18,.444,5,11,.455,13,14,.929,7,16,23,10,4,1,5,3,44,43.7
Stephen Curry,29-345,G,2018-02-22 *,GSW,,LAC,W,1,37,14,19,.737,6,8,.750,8,11,.727,8,8,1.000,1,5,6,10,2,0,4,4,44,41.9
Anthony Davis,24-336,F-C,2018-02-10 *,NOP,@,BRK,W,1,50,16,35,.457,13,30,.433,3,5,.600,9,14,.643,4,13,17,2,6,3,3,2,44,36.3
Damian Lillard,27-214,G,2018-02-14 *,POR,,GSW,W,1,40,14,25,.560,10,14,.714,4,11,.364,12,12,1.000,0,3,3,8,2,0,4,3,44,35.4
Devin Booker,21-078,G,2018-01-16 *,PHO,@,POR,L,1,41,14,29,.483,9,17,.529,5,12,.417,10,10,1.000,0,6,6,8,2,1,4,1,43,34.0
Anthony Davis,24-328,F-C,2018-02-02 *,NOP,@,OKC,W,1,38,17,34,.500,14,28,.500,3,6,.500,6,8,.750,0,10,10,0,3,1,5,4,43,25.3
Paul George,27-275,F,2018-02-01 *,OKC,@,DEN,L,1,36,19,26,.731,14,18,.778,5,8,.625,0,0,,1,4,5,5,2,0,1,2,43,38.0
Khris Middleton,26-081,F-G,2017-11-01 *,MIL,@,CHO,L,1,40,15,28,.536,10,17,.588,5,11,.455,8,10,.800,2,3,5,7,0,0,0,4,43,34.2
Russell Westbrook,29-110,G,2018-03-02 *,OKC,@,PHO,W,1,40,16,25,.640,14,21,.667,2,4,.500,9,11,.818,7,7,14,8,1,1,5,2,43,39.6
Trey Burke,25-134,G,2018-03-26 *,NYK,@,CHO,L,1,41,19,31,.613,16,22,.727,3,9,.333,1,1,1.000,1,0,1,12,1,0,2,1,42,35.6
Anthony Davis,24-340,F-C,2018-02-14 *,NOP,,LAL,W,1,33,15,18,.833,13,16,.813,2,2,1.000,10,11,.909,3,12,15,3,3,2,1,2,42,45.4
DeMar DeRozan,28-159,G-F,2018-01-13 *,TOR,,GSW,L,1,38,17,31,.548,17,27,.630,0,4,.000,8,10,.800,2,3,5,3,0,0,2,2,42,27.9
DeMar DeRozan,28-212,G-F,2018-03-07 *,TOR,@,DET,W,1,43,16,28,.571,14,22,.636,2,6,.333,8,8,1.000,0,4,4,6,0,0,1,1,42,32.8
Paul George,27-192,F,2017-11-10 *,OKC,,LAC,W,1,42,13,22,.591,9,15,.600,4,7,.571,12,15,.800,0,9,9,7,3,0,3,4,42,36.6
James Harden,28-206,G,2018-03-20 *,HOU,@,POR,W,1,33,13,25,.520,8,18,.444,5,7,.714,11,15,.733,0,6,6,7,0,0,4,3,42,29.6
C.J. McCollum,26-190,G,2018-03-28 *,POR,@,MEM,L,1,37,16,25,.640,13,18,.722,3,7,.429,7,9,.778,0,3,3,5,1,0,2,2,42,32.7
Lou Williams,31-031,G,2017-11-27 *,LAC,,LAL,W,1,38,12,21,.571,8,13,.615,4,8,.500,14,14,1.000,0,4,4,3,1,0,4,2,42,31.6
LaMarcus Aldridge,32-133,F-C,2017-11-29 *,SAS,,MEM,W,1,37,17,24,.708,14,21,.667,3,3,1.000,4,4,1.000,2,4,6,1,0,1,0,2,41,34.2
Giannis Antetokounmpo,23-051,F-G,2018-01-26 *,MIL,,BRK,W,1,33,14,20,.700,11,17,.647,3,3,1.000,10,11,.909,2,11,13,7,2,2,1,2,41,43.4
Bradley Beal,24-211,G,2018-01-25 *,WAS,@,OKC,L,1,46,15,26,.577,9,15,.600,6,11,.545,5,7,.714,3,9,12,7,2,0,5,2,41,33.9
DeMarcus Cousins,27-074,C-F,2017-10-26 *,NOP,@,SAC,W,1,44,14,25,.560,11,20,.550,3,5,.600,10,12,.833,8,15,23,6,1,1,4,5,41,38.3
Anthony Davis,24-360,F-C,2018-03-06 *,NOP,@,LAC,W,1,37,17,31,.548,13,24,.542,4,7,.571,3,3,1.000,3,10,13,2,3,4,4,3,41,33.2
Aaron Gordon,22-038,F,2017-10-24 *,ORL,,BRK,W,1,37,14,18,.778,9,13,.692,5,5,1.000,8,10,.800,4,10,14,2,0,0,1,3,41,38.2
James Harden,28-183,G,2018-02-25 *,HOU,@,DEN,W,1,37,11,20,.550,5,10,.500,6,10,.600,13,16,.813,1,7,8,7,1,0,5,2,41,33.1
James Harden,28-165,G,2018-02-07 *,HOU,@,MIA,W,1,36,13,25,.520,8,13,.615,5,12,.417,10,12,.833,0,4,4,6,3,1,4,2,41,32.2
LeBron James,33-088,F-G,2018-03-28 *,CLE,@,CHO,W,1,37,14,26,.538,10,18,.556,4,8,.500,9,11,.818,2,8,10,8,1,0,4,1,41,33.6
Nikola Jokic,22-261,C-F,2017-11-07 *,DEN,,BRK,W,1,31,16,25,.640,12,16,.750,4,9,.444,5,6,.833,2,10,12,5,2,2,1,6,41,37.4
Damian Lillard,27-255,G,2018-03-27 *,POR,@,NOP,W,1,42,18,33,.545,15,24,.625,3,9,.333,2,2,1.000,2,7,9,6,4,0,0,3,41,35.6
Donovan Mitchell,21-085,G,2017-12-01 *,UTA,,NOP,W,1,37,13,25,.520,7,13,.538,6,12,.500,9,11,.818,0,4,4,4,0,0,2,3,41,28.7
Dennis Schroder,24-186,G,2018-03-20 *,ATL,@,UTA,W,1,35,16,28,.571,13,21,.619,3,7,.429,6,10,.600,1,4,5,7,0,0,2,3,41,29.8
Nikola Vucevic,26-361,C,2017-10-20 *,ORL,@,BRK,L,1,35,17,22,.773,11,14,.786,6,8,.750,1,2,.500,1,11,12,3,0,0,4,5,41,32.1
Kemba Walker,27-247,G,2018-01-10 *,CHO,,DAL,L,1,37,16,28,.571,13,19,.684,3,9,.333,6,6,1.000,0,3,3,4,3,1,1,3,41,33.0
Kemba Walker,27-270,G,2018-02-02 *,CHO,,IND,W,1,42,11,22,.500,6,10,.600,5,12,.417,14,14,1.000,1,2,3,9,0,0,4,1,41,33.2
Giannis Antetokounmpo,22-363,F-G,2017-12-04 *,MIL,@,BOS,L,1,39,14,24,.583,14,23,.609,0,1,.000,12,14,.857,1,8,9,4,0,0,4,5,40,27.9
Giannis Antetokounmpo,22-336,F-G,2017-11-07 *,MIL,@,CLE,L,1,40,16,21,.762,16,21,.762,0,0,,8,11,.727,4,5,9,3,0,3,7,6,40,29.6
Bradley Beal,24-126,G,2017-11-01 *,WAS,,PHO,L,1,38,12,25,.480,6,13,.462,6,12,.500,10,11,.909,2,4,6,2,0,0,1,3,40,28.7
Devin Booker,21-119,G,2018-02-26 *,PHO,@,NOP,L,1,41,14,28,.500,11,18,.611,3,10,.300,9,11,.818,0,10,10,7,1,0,3,4,40,29.5
DeMarcus Cousins,27-115,C-F,2017-12-06 *,NOP,,DEN,W,1,40,12,25,.480,10,19,.526,2,6,.333,14,21,.667,7,15,22,4,0,4,6,3,40,32.3
Kevin Durant,29-161,F-G,2018-03-09 *,GSW,@,POR,L,1,37,12,21,.571,6,9,.667,6,12,.500,10,10,1.000,1,5,6,6,0,2,5,1,40,32.5
